Shape,Particle_Size_nm,Surface_Area_m2_g,Bandgap_eV,Oxygen_Vacancy,Light_Intensity_mW_cm2,RF_Predicted_Activity,XGB_Predicted_Activity,Mean_Predicted_Activity
Sphere,30,33.333333333333336,2.1,0.5,100.0,0.059637000000000044,0.04981408,0.05472553947842124
Sphere,35,28.571428571428573,2.1,0.5,100.0,0.06299700000000005,0.06623274,0.06461487043952945
Sphere,40,25.0,2.1,0.5,100.0,0.06527850000000003,0.065386936,0.06533271803426743
Sphere,45,22.22222222222222,2.1,0.5,100.0,0.06840800000000005,0.06902434,0.06871616965913775
Sphere,50,20.0,2.1,0.5,100.0,0.07078500000000007,0.06902434,0.06990466965913776
Sphere,55,18.181818181818183,2.1,0.5,100.0,0.08759449999999992,0.08079468,0.08419458856916423
Sphere,60,16.666666666666668,2.1,0.5,100.0,0.08944699999999987,0.08554694,0.08749697028255457
Sphere,65,15.384615384615385,2.1,0.5,100.0,0.0977974999999999,0.11106601,0.10443175678730006
Sphere,70,14.285714285714286,2.1,0.5,100.0,0.10460649999999994,0.1123945,0.10850049839925763
Sphere,75,13.333333333333334,2.1,0.5,100.0,0.12629800000000016,0.12776333,0.127030665468216
Sphere,80,12.5,2.1,0.5,100.0,0.13078850000000022,0.13579373,0.13329111530828486
Sphere,85,11.764705882352942,2.1,0.5,100.0,0.13468050000000006,0.13900858,0.13684454081916814
Sphere,90,11.11111111111111,2.1,0.5,100.0,0.15748999999999996,0.16352196,0.16050598018884657
Sphere,95,10.526315789473685,2.1,0.5,100.0,0.20529200000000014,0.17205878,0.18867538801050193
Sphere,100,10.0,2.1,0.5,100.0,0.21916600000000025,0.22985938,0.22451269095706952
Sphere,105,9.523809523809524,2.1,0.5,100.0,0.25243750000000054,0.25212693,0.2522822160720828
Sphere,110,9.090909090909092,2.1,0.5,100.0,0.2815205000000005,0.27533454,0.27842751851463343
Sphere,115,8.695652173913043,2.1,0.5,100.0,0.30086300000000027,0.28183866,0.29135082773590104
Sphere,120,8.333333333333334,2.1,0.5,100.0,0.306468,0.28376266,0.29511533180141447
Sphere,125,8.0,2.1,0.5,100.0,0.31280649999999993,0.31140018,0.31210333754730224
Sphere,130,7.6923076923076925,2.1,0.5,100.0,0.31420649999999983,0.32123545,0.3177209740610122
Sphere,135,7.407407407407407,2.1,0.5,100.0,0.3248775,0.3394125,0.332145005197525
Sphere,140,7.142857142857143,2.1,0.5,100.0,0.32559949999999993,0.34415448,0.33487698855972287
Sphere,145,6.896551724137931,2.1,0.5,100.0,0.32487849999999985,0.34415448,0.3345164885597228
Sphere,150,6.666666666666667,2.1,0.5,100.0,0.31856199999999985,0.34415448,0.3313582385597228
Sphere,155,6.451612903225806,2.1,0.5,100.0,0.31040249999999975,0.34415448,0.32727848855972275
Sphere,160,6.25,2.1,0.5,100.0,0.30770949999999986,0.3191582,0.3134338482246398
Sphere,165,6.0606060606060606,2.1,0.5,100.0,0.3038205,0.31363335,0.30872692625904086
Sphere,170,5.882352941176471,2.1,0.5,100.0,0.30592450000000015,0.31363335,0.3097789262590409
Sphere,175,5.714285714285714,2.1,0.5,100.0,0.2996654999999999,0.31363335,0.3066494262590408
Sphere,180,5.555555555555555,2.1,0.5,100.0,0.2756525000000001,0.2892427,0.28244760732173924
Sphere,185,5.405405405405405,2.1,0.5,100.0,0.24021749999999983,0.23007068,0.2351440901899337
Sphere,190,5.2631578947368425,2.1,0.5,100.0,0.227774,0.22854993,0.22816196373653413
Sphere,195,5.128205128205129,2.1,0.5,100.0,0.23106099999999993,0.21623498,0.22364799100685118
Sphere,200,5.0,2.1,0.5,100.0,0.21878199999999995,0.2056261,0.21220405015087124
Sphere,205,4.878048780487805,2.1,0.5,100.0,0.18210600000000024,0.19247913,0.18729256680297862
Sphere,210,4.761904761904762,2.1,0.5,100.0,0.16088200000000022,0.14586452,0.15337325824832926
Sphere,215,4.651162790697675,2.1,0.5,100.0,0.15025250000000004,0.14699559,0.14862404456853867
Sphere,220,4.545454545454546,2.1,0.5,100.0,0.13740249999999998,0.10962136,0.12351193044900893
Sphere,225,4.444444444444445,2.1,0.5,100.0,0.1175985000000002,0.10962136,0.11360993044900905
Sphere,230,4.3478260869565215,2.1,0.5,100.0,0.10455700000000015,0.105610944,0.10508397216534622
Sphere,235,4.25531914893617,2.1,0.5,100.0,0.07432400000000004,0.08205885,0.07819142347526553
Sphere,240,4.166666666666667,2.1,0.5,100.0,0.07202150000000002,0.08054049,0.07628099656534196
Sphere,245,4.081632653061225,2.1,0.5,100.0,0.05236699999999999,0.049639404,0.05100320191001892
Sphere,250,4.0,2.1,0.5,100.0,0.03896749999999993,0.047167357,0.04306742852866646
Sphere,255,3.9215686274509802,2.1,0.5,100.0,0.03323049999999996,0.047167357,0.04019892852866648
Sphere,260,3.8461538461538463,2.1,0.5,100.0,0.019657499999999984,0.031107534,0.02538251686155795
Sphere,265,3.7735849056603774,2.1,0.5,100.0,0.0176945,0.031107534,0.02440101686155796
Sphere,270,3.7037037037037037,2.1,0.5,100.0,0.013889999999999991,0.015986752,0.014938375882506367
Sphere,275,3.6363636363636362,2.1,0.5,100.0,0.009285500000000014,0.011877483,0.010581491378486164
Sphere,280,3.5714285714285716,2.1,0.5,100.0,0.006819000000000007,0.007456351,0.0071376755357980765
Sphere,285,3.508771929824561,2.1,0.5,100.0,0.004340000000000004,0.0041949423,0.004267471151500942
Sphere,290,3.4482758620689653,2.1,0.5,100.0,0.0030440000000000033,0.0033242095,0.003184104739807548
Sphere,295,3.389830508474576,2.1,0.5,100.0,0.0028224999999999995,0.0028156112,0.0028190555974096057
Sphere,300,3.3333333333333335,2.1,0.5,100.0,0.0019205000000000018,0.0025443342,0.0022324170791506778
Sphere,305,3.278688524590164,2.1,0.5,100.0,0.0014510000000000002,0.0025443342,0.0019976670791506767
Sphere,310,3.225806451612903,2.1,0.5,100.0,0.0011309999999999988,0.0021094354,0.0016202176934778684
Sphere,315,3.1746031746031744,2.1,0.5,100.0,0.0010010000000000008,0.0021094354,0.0015552176934778695
Sphere,320,3.125,2.1,0.5,100.0,0.0010000000000000007,0.0021094354,0.0015547176934778695
Sphere,325,3.076923076923077,2.1,0.5,100.0,0.0010000000000000007,0.0012285017,0.0011142508354969327
Sphere,330,3.0303030303030303,2.1,0.5,100.0,0.0010000000000000007,0.0012285017,0.0011142508354969327
Sphere,335,2.985074626865672,2.1,0.5,100.0,0.0010000000000000007,0.0012285017,0.0011142508354969327
Sphere,340,2.9411764705882355,2.1,0.5,100.0,0.0010000000000000007,0.0012285017,0.0011142508354969327
Sphere,345,2.898550724637681,2.1,0.5,100.0,0.0010000000000000007,0.00065516395,0.0008275819763075564
Sphere,350,2.857142857142857,2.1,0.5,100.0,0.0010000000000000007,0.00065516395,0.0008275819763075564
Sphere,355,2.816901408450704,2.1,0.5,100.0,0.0010000000000000007,0.00065516395,0.0008275819763075564
Sphere,360,2.7777777777777777,2.1,0.5,100.0,0.0010000000000000007,0.00043144543,0.0007157227136194709
Sphere,365,2.73972602739726,2.1,0.5,100.0,0.0010000000000000007,0.00043144543,0.0007157227136194709
Sphere,370,2.7027027027027026,2.1,0.5,100.0,0.0010000000000000007,0.00042789616,0.0007139480784535411
Sphere,375,2.6666666666666665,2.1,0.5,100.0,0.0010000000000000007,0.00042789616,0.0007139480784535411
Sphere,380,2.6315789473684212,2.1,0.5,100.0,0.0010000000000000007,0.00042789616,0.0007139480784535411
Sphere,385,2.5974025974025974,2.1,0.5,100.0,0.0010000000000000007,0.00042789616,0.0007139480784535411
Sphere,390,2.5641025641025643,2.1,0.5,100.0,0.0010000000000000007,0.00042789616,0.0007139480784535411
Sphere,395,2.5316455696202533,2.1,0.5,100.0,0.0010000000000000007,0.00042789616,0.0007139480784535411
Sphere,400,2.5,2.1,0.5,100.0,0.0010000000000000007,0.00042789616,0.0007139480784535411
Sphere,405,2.4691358024691357,2.1,0.5,100.0,0.0010000000000000007,0.00042789616,0.0007139480784535411
Sphere,410,2.4390243902439024,2.1,0.5,100.0,0.0010000000000000007,0.00042789616,0.0007139480784535411
Sphere,415,2.4096385542168677,2.1,0.5,100.0,0.0010000000000000007,0.00042789616,0.0007139480784535411
Sphere,420,2.380952380952381,2.1,0.5,100.0,0.0010000000000000007,0.00042789616,0.0007139480784535411
Sphere,425,2.3529411764705883,2.1,0.5,100.0,0.0010000000000000007,0.00042789616,0.0007139480784535411
Sphere,430,2.3255813953488373,2.1,0.5,100.0,0.0010000000000000007,0.0004593513,0.0007296756429132077
Sphere,435,2.2988505747126435,2.1,0.5,100.0,0.0010000000000000007,0.0004593513,0.0007296756429132077
Sphere,440,2.272727272727273,2.1,0.5,100.0,0.0010000000000000007,0.00021086996,0.0006054349777405154
Sphere,445,2.247191011235955,2.1,0.5,100.0,0.0010000000000000007,0.00021086996,0.0006054349777405154
Sphere,450,2.2222222222222223,2.1,0.5,100.0,0.0010000000000000007,0.00021086996,0.0006054349777405154
Sphere,455,2.197802197802198,2.1,0.5,100.0,0.0010000000000000007,0.00021086996,0.0006054349777405154
Sphere,460,2.1739130434782608,2.1,0.5,100.0,0.0010000000000000007,0.00032116985,0.0006605849247425798
Sphere,465,2.150537634408602,2.1,0.5,100.0,0.0010000000000000007,-0.0003651128,0.0003174436041153971
Sphere,470,2.127659574468085,2.1,0.5,100.0,0.0010000000000000007,-0.0006371206,0.00018143968726508353
Sphere,475,2.1052631578947367,2.1,0.5,100.0,0.0010000000000000007,-0.0006398637,0.0001800681401509795
Sphere,480,2.0833333333333335,2.1,0.5,100.0,0.0010000000000000007,-0.00083394535,8.302732557058368e-05
Sphere,485,2.0618556701030926,2.1,0.5,100.0,0.0010000000000000007,-0.00083394535,8.302732557058368e-05
Sphere,490,2.0408163265306123,2.1,0.5,100.0,0.0010000000000000007,-0.00075506157,0.00012246921495534513
Sphere,495,2.0202020202020203,2.1,0.5,100.0,0.0010000000000000007,-0.00093953294,3.023353009484742e-05
Sphere,500,2.0,2.1,0.5,100.0,0.0010000000000000007,-0.00093953294,3.023353009484742e-05
Cube,30,33.333333333333336,2.1,0.5,100.0,0.09097200000000019,0.08281924,0.08689561915254602
Cube,35,28.571428571428573,2.1,0.5,100.0,0.09510650000000018,0.10184634,0.0984764186592103
Cube,40,25.0,2.1,0.5,100.0,0.09545150000000018,0.09431031,0.09488090673160562
Cube,45,22.22222222222222,2.1,0.5,100.0,0.09526200000000012,0.09683609,0.09604904504394537
Cube,50,20.0,2.1,0.5,100.0,0.09160800000000002,0.09593363,0.09377081553125383
Cube,55,18.181818181818183,2.1,0.5,100.0,0.09526849999999998,0.099563256,0.09741587795305251
Cube,60,16.666666666666668,2.1,0.5,100.0,0.09567049999999996,0.099563256,0.0976168779530525
Cube,65,15.384615384615385,2.1,0.5,100.0,0.09889449999999993,0.10325539,0.10107494556045529
Cube,70,14.285714285714286,2.1,0.5,100.0,0.10430800000000001,0.104583874,0.10444593717241288
Cube,75,13.333333333333334,2.1,0.5,100.0,0.12184800000000014,0.11449888,0.1181734417428971
Cube,80,12.5,2.1,0.5,100.0,0.12709550000000017,0.11813213,0.12261381465578088
Cube,85,11.764705882352942,2.1,0.5,100.0,0.12753499999999998,0.11356586,0.12055043108940124
Cube,90,11.11111111111111,2.1,0.5,100.0,0.13269099999999998,0.13276376,0.13272737915086746
Cube,95,10.526315789473685,2.1,0.5,100.0,0.13567449999999995,0.13129163,0.13348306394195553
Cube,100,10.0,2.1,0.5,100.0,0.135014,0.15383898,0.1444264886088371
Cube,105,9.523809523809524,2.1,0.5,100.0,0.13418800000000006,0.15316568,0.14367684157514576
Cube,110,9.090909090909092,2.1,0.5,100.0,0.1383230000000001,0.15473285,0.14652792658710484
Cube,115,8.695652173913043,2.1,0.5,100.0,0.1396115000000002,0.15402137,0.14681643371534359
Cube,120,8.333333333333334,2.1,0.5,100.0,0.13894250000000016,0.15594544,0.14744396758317957
Cube,125,8.0,2.1,0.5,100.0,0.14261650000000026,0.16498162,0.153799059261799
Cube,130,7.6923076923076925,2.1,0.5,100.0,0.15252350000000026,0.16916367,0.16084358705806745
Cube,135,7.407407407407407,2.1,0.5,100.0,0.15671650000000018,0.16890678,0.16281163904857643
Cube,140,7.142857142857143,2.1,0.5,100.0,0.15942949999999992,0.17201914,0.165724319466114
Cube,145,6.896551724137931,2.1,0.5,100.0,0.1606449999999998,0.17201914,0.16633206946611395
Cube,150,6.666666666666667,2.1,0.5,100.0,0.16124299999999983,0.17439052,0.167816762312889
Cube,155,6.451612903225806,2.1,0.5,100.0,0.16226549999999995,0.17439052,0.16832801231288907
Cube,160,6.25,2.1,0.5,100.0,0.16405549999999994,0.17112589,0.1675906944122314
Cube,165,6.0606060606060606,2.1,0.5,100.0,0.16551849999999999,0.17526732,0.1703929119257927
Cube,170,5.882352941176471,2.1,0.5,100.0,0.16724700000000006,0.17759743,0.1724222166643143
Cube,175,5.714285714285714,2.1,0.5,100.0,0.16882350000000007,0.18127157,0.17504753397035602
Cube,180,5.555555555555555,2.1,0.5,100.0,0.16867950000000012,0.17474219,0.17171084601497655
Cube,185,5.405405405405405,2.1,0.5,100.0,0.17061300000000018,0.16570872,0.16816086034202585
Cube,190,5.2631578947368425,2.1,0.5,100.0,0.1713885000000002,0.16418797,0.16778823388862618
Cube,195,5.128205128205129,2.1,0.5,100.0,0.17653950000000024,0.162791,0.1696652494082452
Cube,200,5.0,2.1,0.5,100.0,0.17708400000000019,0.16172995,0.16940697336626062
Cube,205,4.878048780487805,2.1,0.5,100.0,0.17286050000000025,0.16404906,0.1684547795763017
Cube,210,4.761904761904762,2.1,0.5,100.0,0.17140750000000027,0.16449296,0.16795023237228407
Cube,215,4.651162790697675,2.1,0.5,100.0,0.17075550000000025,0.16562404,0.16818976869249358
Cube,220,4.545454545454546,2.1,0.5,100.0,0.17278600000000024,0.16462444,0.1687052188448907
Cube,225,4.444444444444445,2.1,0.5,100.0,0.17066100000000012,0.16462444,0.16764271884489065
Cube,230,4.3478260869565215,2.1,0.5,100.0,0.16616100000000014,0.16061403,0.16338751428651815
Cube,235,4.25531914893617,2.1,0.5,100.0,0.16068850000000015,0.16342592,0.16205721119689948
Cube,240,4.166666666666667,2.1,0.5,100.0,0.16386550000000022,0.16274102,0.1633032601609231
Cube,245,4.081632653061225,2.1,0.5,100.0,0.16505750000000027,0.15674783,0.16090266644716278
Cube,250,4.0,2.1,0.5,100.0,0.16516950000000022,0.15652525,0.16084737712478647
Cube,255,3.9215686274509802,2.1,0.5,100.0,0.1658980000000002,0.15652525,0.16121162712478648
Cube,260,3.8461538461538463,2.1,0.5,100.0,0.1680240000000003,0.15345824,0.16074111882400527
Cube,265,3.7735849056603774,2.1,0.5,100.0,0.1650330000000003,0.15345824,0.15924561882400529
Cube,270,3.7037037037037037,2.1,0.5,100.0,0.14936600000000017,0.1500048,0.14968540206718453
Cube,275,3.6363636363636362,2.1,0.5,100.0,0.14878150000000015,0.14916767,0.14897458589982993
Cube,280,3.5714285714285716,2.1,0.5,100.0,0.1455285000000001,0.14251696,0.14402272786664966
Cube,285,3.508771929824561,2.1,0.5,100.0,0.14371950000000008,0.14251696,0.14311822786664968
Cube,290,3.4482758620689653,2.1,0.5,100.0,0.14289300000000013,0.14218009,0.14253654259109505
Cube,295,3.389830508474576,2.1,0.5,100.0,0.14081050000000006,0.14218009,0.141495292591095
Cube,300,3.3333333333333335,2.1,0.5,100.0,0.14143650000000013,0.14218009,0.14180829259109504
Cube,305,3.278688524590164,2.1,0.5,100.0,0.13957200000000008,0.14107805,0.14032502745246891
Cube,310,3.225806451612903,2.1,0.5,100.0,0.13685500000000003,0.13251595,0.13468547599554065
Cube,315,3.1746031746031744,2.1,0.5,100.0,0.13290399999999997,0.13002947,0.1314667348642349
Cube,320,3.125,2.1,0.5,100.0,0.13161349999999988,0.12755777,0.12958563470888132
Cube,325,3.076923076923077,2.1,0.5,100.0,0.1305344999999999,0.12667684,0.12860567128515238
Cube,330,3.0303030303030303,2.1,0.5,100.0,0.1280484999999999,0.11877098,0.12340973967242236
Cube,335,2.985074626865672,2.1,0.5,100.0,0.1262899999999999,0.11877098,0.12253048967242236
Cube,340,2.9411764705882355,2.1,0.5,100.0,0.1245329999999999,0.11877098,0.12165198967242236
Cube,345,2.898550724637681,2.1,0.5,100.0,0.12205799999999993,0.11778535,0.11992167474412915
Cube,350,2.857142857142857,2.1,0.5,100.0,0.11100350000000005,0.10926679,0.11013514388370516
Cube,355,2.816901408450704,2.1,0.5,100.0,0.10880850000000003,0.10926679,0.10903764388370515
Cube,360,2.7777777777777777,2.1,0.5,100.0,0.10146300000000004,0.100750715,0.1011068572702408
Cube,365,2.73972602739726,2.1,0.5,100.0,0.09562250000000008,0.100750715,0.09818660727024082
Cube,370,2.7027027027027026,2.1,0.5,100.0,0.09361050000000005,0.09604627,0.09482838446998598
Cube,375,2.6666666666666665,2.1,0.5,100.0,0.09230500000000004,0.09604627,0.09417563446998597
Cube,380,2.6315789473684212,2.1,0.5,100.0,0.09175250000000006,0.092282936,0.0920177179884911
Cube,385,2.5974025974025974,2.1,0.5,100.0,0.09127750000000004,0.092282936,0.09178021798849108
Cube,390,2.5641025641025643,2.1,0.5,100.0,0.0882435,0.092282936,0.09026321798849106
Cube,395,2.5316455696202533,2.1,0.5,100.0,0.081943,0.081624314,0.0817836570944786
Cube,400,2.5,2.1,0.5,100.0,0.07790949999999995,0.0686544,0.07328195154523848
Cube,405,2.4691358024691357,2.1,0.5,100.0,0.07301799999999993,0.0686544,0.07083620154523845
Cube,410,2.4390243902439024,2.1,0.5,100.0,0.06985349999999997,0.06686173,0.06835761317181585
Cube,415,2.4096385542168677,2.1,0.5,100.0,0.06995099999999996,0.06686173,0.06840636317181585
Cube,420,2.380952380952381,2.1,0.5,100.0,0.06926099999999995,0.06686173,0.06806136317181585
Cube,425,2.3529411764705883,2.1,0.5,100.0,0.06353999999999994,0.06257538,0.0630576887619495
Cube,430,2.3255813953488373,2.1,0.5,100.0,0.06046049999999996,0.05423538,0.057347940071463564
Cube,435,2.2988505747126435,2.1,0.5,100.0,0.05649799999999997,0.05423538,0.05536669007146357
Cube,440,2.272727272727273,2.1,0.5,100.0,0.04999549999999994,0.04671746,0.04835648059928414
Cube,445,2.247191011235955,2.1,0.5,100.0,0.048157499999999936,0.04466501,0.046411254391670195
Cube,450,2.2222222222222223,2.1,0.5,100.0,0.047545499999999956,0.04466501,0.04610525439167021
Cube,455,2.197802197802198,2.1,0.5,100.0,0.04607749999999996,0.04491316,0.04549533077299593
Cube,460,2.1739130434782608,2.1,0.5,100.0,0.045474499999999966,0.04491316,0.045193830772995935
Cube,465,2.150537634408602,2.1,0.5,100.0,0.04289799999999995,0.043765683,0.04333184136354921
Cube,470,2.127659574468085,2.1,0.5,100.0,0.04234499999999997,0.03863192,0.04048845988571642
Cube,475,2.1052631578947367,2.1,0.5,100.0,0.03412800000000004,0.035337195,0.03473259740018847
Cube,480,2.0833333333333335,2.1,0.5,100.0,0.031563000000000015,0.03503195,0.033297474119305615
Cube,485,2.0618556701030926,2.1,0.5,100.0,0.031203500000000016,0.03404235,0.03262292547392846
Cube,490,2.0408163265306123,2.1,0.5,100.0,0.031177499999999997,0.03404235,0.03260992547392845
Cube,495,2.0202020202020203,2.1,0.5,100.0,0.031125999999999987,0.033570714,0.03234835714745521
Cube,500,2.0,2.1,0.5,100.0,0.032220500000000006,0.033570714,0.03289560714745522
